item	itemLabel	itemDescription
http://www.wikidata.org/entity/Q652732	Iat	Egyptian goddess
http://www.wikidata.org/entity/Q197866	Zhongli Quan	Chinese mythological figure
http://www.wikidata.org/entity/Q698314	Lü Dongbin	Chinese scholar and poet during the Tang Dynasty
http://www.wikidata.org/entity/Q713924	Ji Gong	deified Chinese Buddhist monk
http://www.wikidata.org/entity/Q767687	Ansa	deity
http://www.wikidata.org/entity/Q83453253	Lingji	Journey to the West character
http://www.wikidata.org/entity/Q4672174	Acat	Maya god of tattooing
http://www.wikidata.org/entity/Q4739215	Amalanhig	Philippine mythological figures
http://www.wikidata.org/entity/Q1088421	Ninkasi	Sumerian goddess of beer
http://www.wikidata.org/entity/Q2365991	Mulungu	bantu deity
http://www.wikidata.org/entity/Q1116411	Hainuwele	Indonesian mythological figure
http://www.wikidata.org/entity/Q1145713	Tarqiup Inua	deity in Inuit mythology
http://www.wikidata.org/entity/Q1465683	Mahāsthāmaprāpta	Bodhisattva mahāsattva
http://www.wikidata.org/entity/Q1267598	Dushara	deity
http://www.wikidata.org/entity/Q1322674	Cai Shen	Chinese god of prosperity
http://www.wikidata.org/entity/Q1340569	Haoma	Zoroastrian sacred plant and drink
http://www.wikidata.org/entity/Q15927971	Parṇa-śāvari	deity
http://www.wikidata.org/entity/Q1422008	Malina	Inuit deity
http://www.wikidata.org/entity/Q2529275	Visistacaritra	
http://www.wikidata.org/entity/Q2661877	Suryaprabha	
http://www.wikidata.org/entity/Q6950644	Mārtanda	eighth and last of the Vedic solar deities known as Adityas in Hinduism
http://www.wikidata.org/entity/Q2994191	Tai Sui	In the Chinese zodiac, it refers to a star which moves reversely against to Jupiter. Later it has been seen as personal gods.
http://www.wikidata.org/entity/Q1619078	Amomongo	Philippine mythological figure
http://www.wikidata.org/entity/Q5576009	God in Abrahamic religions	concept of God in Abrahamic religions
http://www.wikidata.org/entity/Q1695219	Kadru	mother of the Nagas in Hindu legends
http://www.wikidata.org/entity/Q45452	Mór Muman	Irish royal
http://www.wikidata.org/entity/Q5767284	Hinkon	Deity of the Tungus peoples
http://www.wikidata.org/entity/Q110156557	Sanhua Pusa	Dream of the Red Chamber character
http://www.wikidata.org/entity/Q10022741	Marshal Heavenly Mugwort	Taoist god of protection, one of four sages in North Pole, revered as god of the stars
http://www.wikidata.org/entity/Q3318877	Teju Jagua	Lagarto perro
http://www.wikidata.org/entity/Q746709	Tara	female Bodhisattva
http://www.wikidata.org/entity/Q2069189	Penpen	Deity of Egyptian mythology
http://www.wikidata.org/entity/Q10567265	Huang Shigong	author of the Three Strategies
http://www.wikidata.org/entity/Q416174	Ākāśagarbha	bodhisattva in Chinese, Japanese and Korean Buddhism
http://www.wikidata.org/entity/Q2469977	Adgilis deda	deity in the pre-Christian Georgian pantheon
http://www.wikidata.org/entity/Q2472245	Ūsiņš	Latvian deity of light, spring, fertility, horses and bees
http://www.wikidata.org/entity/Q2472959	Nara-Narayana	hindu twin brother deity pair
http://www.wikidata.org/entity/Q2485388	Ayyur	Berber mythology
http://www.wikidata.org/entity/Q2560490	Kū	Hawaiian deity
http://www.wikidata.org/entity/Q6737197	Maitreya	certain higher being in theosophical doctrine
http://www.wikidata.org/entity/Q193461	Maitreya	future Buddha in Buddhist eschatology
http://www.wikidata.org/entity/Q13424696	Jambhala	God of Wealth in Hinduism and Buddhism
http://www.wikidata.org/entity/Q5983392	Ianuaria	Celtic goddess
http://www.wikidata.org/entity/Q604687	Kṣitigarbha	bodhisattva
http://www.wikidata.org/entity/Q751147	Prajnaparamita	principle of Buddhism and its personification as a Bodhisattva
http://www.wikidata.org/entity/Q7039129	Ninsar	goddess of plants in Sumerian mythology
http://www.wikidata.org/entity/Q868306	Samantabhadra	Bodhisattva
http://www.wikidata.org/entity/Q7267871	Qingxu Daode Zhenjun	Investiture of the Gods character
http://www.wikidata.org/entity/Q7280514	Radien-pardne	Sami god
http://www.wikidata.org/entity/Q3305303	Azizos	Palmyran Arab god
http://www.wikidata.org/entity/Q3400773	Ap	Vedic Sanskrit term for "water"
http://www.wikidata.org/entity/Q4900820	Bhaishajyaraja	
http://www.wikidata.org/entity/Q2271551	Sepa	Egyptian god
http://www.wikidata.org/entity/Q193849	Avalokiteśvara	Buddhist deity embodying compassion
http://www.wikidata.org/entity/Q262099	Imentet	Egyptian deity
http://www.wikidata.org/entity/Q19312	Raet-Tawy	ancient Egyptian solar goddess
http://www.wikidata.org/entity/Q11622378	Bhaiṣajyasamudgata	
http://www.wikidata.org/entity/Q3007546	Cundi	female deity in Vajrayana
http://www.wikidata.org/entity/Q207435	Taweret	ancient Egyptian goddess
